total_assignment_cost,remote_flights,zone_mismatch_flights,weighted_avg_walking_m,narrow_on_wide_gates,total_expected_service_extension_min,param_name,param_label,param_value
46950.0,11,9,451.44,1,522,remote_penalty,Remote-Stand Penalty,300.0
50250.0,11,9,451.44,1,522,remote_penalty,Remote-Stand Penalty,600.0
53550.0,11,9,451.44,1,522,remote_penalty,Remote-Stand Penalty,900.0
56850.0,11,9,451.44,1,522,remote_penalty,Remote-Stand Penalty,1200.0
60150.0,11,9,451.44,1,522,remote_penalty,Remote-Stand Penalty,1500.0
63450.0,11,9,451.44,1,522,remote_penalty,Remote-Stand Penalty,1800.0
66750.0,11,9,451.44,1,522,remote_penalty,Remote-Stand Penalty,2100.0
70050.0,11,9,451.44,1,522,remote_penalty,Remote-Stand Penalty,2400.0
55212.5,11,17,448.32,0,555,zone_penalty,Zone-Mismatch Penalty,0.0
56138.8,11,11,448.41,1,530,zone_penalty,Zone-Mismatch Penalty,70.0
56850.0,11,9,451.44,1,522,zone_penalty,Zone-Mismatch Penalty,140.0
57480.0,11,9,451.44,1,522,zone_penalty,Zone-Mismatch Penalty,210.0
58110.0,11,9,451.44,1,522,zone_penalty,Zone-Mismatch Penalty,280.0
58740.0,11,9,451.44,1,522,zone_penalty,Zone-Mismatch Penalty,350.0
59370.0,11,9,451.44,1,522,zone_penalty,Zone-Mismatch Penalty,420.0
32167.5,11,9,451.44,1,522,walking_multiplier,Walking-Cost Multiplier,0.25
40395.0,11,9,451.44,1,522,walking_multiplier,Walking-Cost Multiplier,0.5
48622.51,11,9,451.44,1,522,walking_multiplier,Walking-Cost Multiplier,0.75
56850.0,11,9,451.44,1,522,walking_multiplier,Walking-Cost Multiplier,1.0
65071.51,11,10,449.84,1,526,walking_multiplier,Walking-Cost Multiplier,1.25
73253.2,11,11,448.41,1,530,walking_multiplier,Walking-Cost Multiplier,1.5
81425.39,11,11,448.41,1,530,walking_multiplier,Walking-Cost Multiplier,1.75
89597.6,11,11,448.41,1,530,walking_multiplier,Walking-Cost Multiplier,2.0
56661.9,11,11,448.31,2,528,scarcity_penalty,Gate-Scarcity Penalty,0.0
56730.0,11,9,451.44,1,522,scarcity_penalty,Gate-Scarcity Penalty,60.0
56790.0,11,9,451.44,1,522,scarcity_penalty,Gate-Scarcity Penalty,120.0
56850.0,11,9,451.44,1,522,scarcity_penalty,Gate-Scarcity Penalty,180.0
56910.0,11,9,451.44,1,522,scarcity_penalty,Gate-Scarcity Penalty,240.0
56944.4,11,10,452.87,0,527,scarcity_penalty,Gate-Scarcity Penalty,300.0
56944.4,11,10,452.87,0,527,scarcity_penalty,Gate-Scarcity Penalty,360.0
